#acquisition error/standby/quality issue events
Start Time;End Time;Error Description;Error Value
# --- 2025 --- #
2021-02-06 23:42:59;2021-02-06 23:42:59;Missing due to calibration or zero/span check;183.002
2021-02-06 23:43:15;2021-02-06 23:43:15;Missing due to calibration or zero/span check;180.887
2021-02-06 23:48:39;2021-02-06 23:50:33;Missing due to calibration or zero/span check;nan
2021-02-06 23:52:57;2021-02-06 23:52:57;Missing due to calibration or zero/span check;394.463
2021-02-06 23:53:39;2021-02-06 23:55:08;Missing due to calibration or zero/span check;nan
2021-02-06 23:57:32;2021-02-06 23:57:32;Missing due to calibration or zero/span check;408.72
2021-02-06 23:58:39;2021-02-07 00:00:06;Missing due to calibration or zero/span check;nan
2021-02-07 00:00:34;2021-02-07 00:00:34;Missing due to calibration or zero/span check;413.244
2021-02-07 00:00:45;2021-02-07 00:00:45;Missing due to calibration or zero/span check;463.756
2021-02-07 00:03:39;2021-02-07 00:05:11;Missing due to calibration or zero/span check;nan
2021-02-07 00:08:39;2021-02-07 00:14:08;Missing due to calibration or zero/span check;nan
2021-02-07 00:19:32;2021-02-07 00:19:32;Missing due to calibration or zero/span check;404.999
2021-02-07 00:20:59;2021-02-07 00:20:59;Missing due to calibration or zero/span check;404.79
2021-02-07 00:21:11;2021-02-07 00:21:11;Missing due to calibration or zero/span check;407.782
2021-02-07 00:23:04;2021-02-07 00:23:07;Missing due to calibration or zero/span check;465.96999999999997
2021-02-07 00:23:39;2021-02-07 00:25:15;Missing due to calibration or zero/span check;nan
2021-02-07 00:28:39;2021-02-07 00:30:21;Missing due to calibration or zero/span check;nan
