ccn_sursaturation,pollution_flag,ccn_conc,datetime,ccn_flag
0.2,0.0,112.37,2021-02-05 05:45:36,0.0
0.2,0.0,115.236,2021-02-05 05:45:37,0.0
0.2,0.0,117.859,2021-02-05 05:45:38,0.0
0.2,0.0,147.253,2021-02-05 05:45:39,0.0
0.2,0.0,152.118,2021-02-05 05:45:40,0.0
0.2,0.0,142.444,2021-02-05 05:45:41,0.0
0.2,0.0,134.364,2021-02-05 05:45:42,0.0
0.2,0.0,140.816,2021-02-05 05:45:43,0.0
0.2,0.0,108.694,2021-02-05 05:45:44,0.0
0.2,0.0,117.454,2021-02-05 05:45:45,0.0
0.2,0.0,137.156,2021-02-05 05:45:46,0.0
0.2,0.0,120.355,2021-02-05 05:45:47,0.0
0.2,0.0,134.075,2021-02-05 05:45:48,0.0
0.2,0.0,121.839,2021-02-05 05:45:49,0.0
0.2,0.0,131.449,2021-02-05 05:45:50,0.0
0.2,0.0,100.641,2021-02-05 05:45:51,0.0
0.2,0.0,121.683,2021-02-05 05:45:52,0.0
0.2,0.0,100.006,2021-02-05 05:45:53,0.0
0.2,0.0,129.619,2021-02-05 05:45:54,0.0
0.2,0.0,139.191,2021-02-05 05:45:55,0.0
0.2,0.0,145.303,2021-02-05 05:45:56,0.0
0.2,0.0,145.013,2021-02-05 05:45:57,0.0
0.2,0.0,112.154,2021-02-05 05:45:58,0.0
0.2,0.0,111.674,2021-02-05 05:45:59,0.0
0.2,0.0,105.222,2021-02-05 05:46:00,0.0
0.2,0.0,118.86,2021-02-05 05:46:01,0.0
0.2,0.0,127.624,2021-02-05 05:46:02,0.0
0.2,0.0,140.509,2021-02-05 05:46:03,0.0
0.2,0.0,93.203,2021-02-05 05:46:04,0.0
0.2,0.0,146.719,2021-02-05 05:46:05,0.0
0.2,0.0,147.984,2021-02-05 05:46:06,0.0
0.2,0.0,127.706,2021-02-05 05:46:07,0.0
0.2,0.0,112.311,2021-02-05 05:46:08,0.0
0.2,0.0,120.299,2021-02-05 05:46:09,0.0
0.2,0.0,142.161,2021-02-05 05:46:10,0.0
0.2,0.0,137.778,2021-02-05 05:46:11,0.0
0.2,0.0,147.4,2021-02-05 05:46:12,0.0
0.2,0.0,139.901,2021-02-05 05:46:13,0.0
0.2,0.0,154.64,2021-02-05 05:46:14,0.0
0.2,0.0,113.178,2021-02-05 05:46:15,0.0
0.2,0.0,141.245,2021-02-05 05:46:16,0.0
0.2,0.0,152.639,2021-02-05 05:46:17,0.0
0.2,0.0,122.787,2021-02-05 05:46:18,0.0
0.2,0.0,121.556,2021-02-05 05:46:19,0.0
0.2,0.0,120.363,2021-02-05 05:46:20,0.0
0.2,0.0,122.311,2021-02-05 05:46:21,0.0
0.2,0.0,121.731,2021-02-05 05:46:22,0.0
0.2,0.0,112.803,2021-02-05 05:46:23,0.0
