ccn_conc,ccn_sursaturation,datetime,pollution_flag,ccn_flag
96.201,0.1,2023-02-01 19:59:56,0.0,0.0
61.966,0.1,2023-02-01 19:59:57,0.0,0.0
64.661,0.1,2023-02-01 19:59:58,0.0,0.0
96.238,0.1,2023-02-01 19:59:59,0.0,0.0
247.538,0.1,2023-02-01 20:00:02,0.0,0.0
290.075,0.1,2023-02-01 20:00:03,0.0,0.0
269.83,0.1,2023-02-01 20:00:04,0.0,0.0
277.24,0.1,2023-02-01 20:00:05,0.0,0.0
234.388,0.1,2023-02-01 20:00:06,0.0,0.0
212.256,0.1,2023-02-01 20:00:07,0.0,0.0
89.95,0.1,2023-02-01 20:00:08,0.0,0.0
57.014,0.1,2023-02-01 20:00:09,0.0,0.0
34.272,0.1,2023-02-01 20:00:10,0.0,0.0
153.346,0.1,2023-02-01 20:00:11,0.0,0.0
322.349,0.1,2023-02-01 20:00:12,0.0,0.0
306.293,0.1,2023-02-01 20:00:13,0.0,0.0
316.274,0.1,2023-02-01 20:00:14,0.0,0.0
338.98,0.1,2023-02-01 20:00:15,0.0,0.0
308.441,0.1,2023-02-01 20:00:16,0.0,0.0
340.458,0.1,2023-02-01 20:00:17,0.0,0.0
260.542,0.1,2023-02-01 20:00:18,0.0,0.0
236.111,0.1,2023-02-01 20:00:19,0.0,0.0
105.674,0.1,2023-02-01 20:00:20,0.0,0.0
67.657,0.1,2023-02-01 20:00:21,0.0,0.0
69.083,0.1,2023-02-01 20:00:22,0.0,0.0
143.478,0.1,2023-02-01 20:00:23,0.0,0.0
199.851,0.1,2023-02-01 20:00:24,0.0,0.0
261.973,0.1,2023-02-01 20:00:25,0.0,0.0
279.332,0.1,2023-02-01 20:00:26,0.0,0.0
262.946,0.1,2023-02-01 20:00:27,0.0,0.0
283.653,0.1,2023-02-01 20:00:28,0.0,0.0
253.705,0.1,2023-02-01 20:00:29,0.0,0.0
237.643,0.1,2023-02-01 20:00:30,0.0,0.0
188.611,0.1,2023-02-01 20:00:31,0.0,0.0
152.926,0.1,2023-02-01 20:00:32,0.0,0.0
109.33,0.1,2023-02-01 20:00:33,0.0,0.0
118.549,0.1,2023-02-01 20:00:34,0.0,0.0
140.33,0.1,2023-02-01 20:00:35,0.0,0.0
164.831,0.1,2023-02-01 20:00:36,0.0,0.0
215.913,0.1,2023-02-01 20:00:37,0.0,0.0
160.564,0.1,2023-02-01 20:00:38,0.0,0.0
245.495,0.1,2023-02-01 20:00:39,0.0,0.0
197.917,0.1,2023-02-01 20:00:40,0.0,0.0
208.546,0.1,2023-02-01 20:00:41,0.0,0.0
163.853,0.1,2023-02-01 20:00:42,0.0,0.0
125.276,0.1,2023-02-01 20:00:43,0.0,0.0
103.508,0.1,2023-02-01 20:00:44,0.0,0.0
128.206,0.1,2023-02-01 20:00:45,0.0,0.0
125.945,0.1,2023-02-01 20:00:46,0.0,0.0
159.188,0.1,2023-02-01 20:00:47,0.0,0.0
157.66,0.1,2023-02-01 20:00:48,0.0,0.0
134.063,0.1,2023-02-01 20:00:49,0.0,0.0
191.536,0.1,2023-02-01 20:00:50,0.0,0.0
222.675,0.1,2023-02-01 20:00:51,0.0,0.0
214.55,0.1,2023-02-01 20:00:52,0.0,0.0
212.075,0.1,2023-02-01 20:00:53,0.0,0.0
207.098,0.1,2023-02-01 20:00:54,0.0,0.0
222.09,0.1,2023-02-01 20:00:55,0.0,0.0
176.341,0.1,2023-02-01 20:00:56,0.0,0.0
178.999,0.1,2023-02-01 20:00:57,0.0,0.0
122.655,0.1,2023-02-01 20:00:58,0.0,0.0
104.053,0.1,2023-02-01 20:00:59,0.0,0.0
111.509,0.1,2023-02-01 20:01:00,0.0,0.0
177.585,0.1,2023-02-01 20:01:01,0.0,0.0
218.716,0.1,2023-02-01 20:01:02,0.0,0.0
264.962,0.1,2023-02-01 20:01:03,0.0,0.0
264.095,0.1,2023-02-01 20:01:04,0.0,0.0
208.341,0.1,2023-02-01 20:01:05,0.0,0.0
213.326,0.1,2023-02-01 20:01:06,0.0,0.0
232.989,0.1,2023-02-01 20:01:07,0.0,0.0
147.159,0.1,2023-02-01 20:01:08,0.0,0.0
82.989,0.1,2023-02-01 20:01:09,0.0,0.0
72.713,0.1,2023-02-01 20:01:10,0.0,0.0
103.259,0.1,2023-02-01 20:01:11,0.0,0.0
197.138,0.1,2023-02-01 20:01:12,0.0,0.0
248.217,0.1,2023-02-01 20:01:13,0.0,0.0
237.178,0.1,2023-02-01 20:01:14,0.0,0.0
267.301,0.1,2023-02-01 20:01:15,0.0,0.0
201.18,0.1,2023-02-01 20:01:16,0.0,0.0
258.817,0.1,2023-02-01 20:01:17,0.0,0.0
211.943,0.1,2023-02-01 20:01:18,0.0,0.0
186.151,0.1,2023-02-01 20:01:19,0.0,0.0
100.124,0.1,2023-02-01 20:01:20,0.0,0.0
93.921,0.1,2023-02-01 20:01:21,0.0,0.0
76.737,0.1,2023-02-01 20:01:22,0.0,0.0
99.964,0.1,2023-02-01 20:01:23,0.0,0.0
